name,group,order,types,description
IMG_AddAnimationEncoderFrame,0,92,IMG_AnimationEncoder SDL_Surface Uint64 bool,Add a frame to an animation encoder.
IMG_CloseAnimationDecoder,0,101,IMG_AnimationDecoder bool,"Close an animation decoder, finishing any decoding."
IMG_CloseAnimationEncoder,0,93,IMG_AnimationEncoder bool,"Close an animation encoder, finishing any encoding."
IMG_CreateAnimatedCursor,0,87,IMG_Animation int SDL_Cursor,Create an animated cursor from an animation.
IMG_CreateAnimationDecoder,0,94,char IMG_AnimationDecoder,Create a decoder to read a series of images from a file.
IMG_CreateAnimationDecoderWithProperties,0,96,SDL_PropertiesID IMG_AnimationDecoder,Create an animation decoder with the specified properties.
IMG_CreateAnimationDecoder_IO,0,95,SDL_IOStream bool char IMG_AnimationDecoder,Create a decoder to read a series of images from an IOStream.
IMG_CreateAnimationEncoder,0,89,char IMG_AnimationEncoder,Create an encoder to save a series of images to a file.
IMG_CreateAnimationEncoderWithProperties,0,91,SDL_PropertiesID IMG_AnimationEncoder,Create an animation encoder with the specified properties.
IMG_CreateAnimationEncoder_IO,0,90,SDL_IOStream bool char IMG_AnimationEncoder,Create an encoder to save a series of images to an IOStream.
IMG_FreeAnimation,0,88,IMG_Animation,Dispose of an IMG_Animation and free its resources.
IMG_GetAnimationDecoderFrame,0,98,IMG_AnimationDecoder SDL_Surface Uint64 bool,Get the next frame in an animation decoder.
IMG_GetAnimationDecoderProperties,0,97,IMG_AnimationDecoder SDL_PropertiesID,Get the properties of an animation decoder.
IMG_GetAnimationDecoderStatus,0,99,IMG_AnimationDecoder IMG_AnimationDecoderStatus,Get the decoder status indicating the current state of the decoder.
IMG_GetClipboardImage,0,10,SDL_Surface,Get the image currently in the clipboard.
IMG_Load,0,1,char SDL_Surface,Load an image from a filesystem path into a software surface.
IMG_LoadANIAnimation_IO,0,75,SDL_IOStream IMG_Animation,Load an ANI animation directly from an SDL_IOStream.
IMG_LoadAPNGAnimation_IO,0,76,SDL_IOStream IMG_Animation,Load an APNG animation directly from an SDL_IOStream.
IMG_LoadAVIFAnimation_IO,0,77,SDL_IOStream IMG_Animation,Load an AVIF animation directly from an SDL_IOStream.
IMG_LoadAVIF_IO,0,30,SDL_IOStream SDL_Surface,Load a AVIF image directly.
IMG_LoadAnimation,0,72,char IMG_Animation,Load an animation from a file.
IMG_LoadAnimationTyped_IO,0,74,SDL_IOStream bool char IMG_Animation,Load an animation from an SDL_IOStream.
IMG_LoadAnimation_IO,0,73,SDL_IOStream bool IMG_Animation,Load an animation from an SDL_IOStream.
IMG_LoadBMP_IO,0,31,SDL_IOStream SDL_Surface,Load a BMP image directly.
IMG_LoadCUR_IO,0,32,SDL_IOStream SDL_Surface,Load a CUR image directly.
IMG_LoadGIFAnimation_IO,0,78,SDL_IOStream IMG_Animation,Load a GIF animation directly.
IMG_LoadGIF_IO,0,33,SDL_IOStream SDL_Surface,Load a GIF image directly.
IMG_LoadGPUTexture,0,7,SDL_GPUDevice SDL_GPUCopyPass char int SDL_GPUTexture,Load an image from a filesystem path into a GPU texture.
IMG_LoadGPUTextureTyped_IO,0,9,SDL_GPUDevice SDL_GPUCopyPass SDL_IOStream bool char int SDL_GPUTexture,Load an image from an SDL data source into a GPU texture.
IMG_LoadGPUTexture_IO,0,8,SDL_GPUDevice SDL_GPUCopyPass SDL_IOStream bool int SDL_GPUTexture,Load an image from an SDL data source into a GPU texture.
IMG_LoadICO_IO,0,34,SDL_IOStream SDL_Surface,Load a ICO image directly.
IMG_LoadJPG_IO,0,35,SDL_IOStream SDL_Surface,Load a JPG image directly.
IMG_LoadJXL_IO,0,36,SDL_IOStream SDL_Surface,Load a JXL image directly.
IMG_LoadLBM_IO,0,37,SDL_IOStream SDL_Surface,Load a LBM image directly.
IMG_LoadPCX_IO,0,38,SDL_IOStream SDL_Surface,Load a PCX image directly.
IMG_LoadPNG_IO,0,39,SDL_IOStream SDL_Surface,Load a PNG image directly.
IMG_LoadPNM_IO,0,40,SDL_IOStream SDL_Surface,Load a PNM image directly.
IMG_LoadQOI_IO,0,43,SDL_IOStream SDL_Surface,Load a QOI image directly.
IMG_LoadSVG_IO,0,41,SDL_IOStream SDL_Surface,Load a SVG image directly.
IMG_LoadSizedSVG_IO,0,42,SDL_IOStream int SDL_Surface,"Load an SVG image, scaled to a specific size."
IMG_LoadTGA_IO,0,44,SDL_IOStream SDL_Surface,Load a TGA image directly.
IMG_LoadTIF_IO,0,45,SDL_IOStream SDL_Surface,Load a TIFF image directly.
IMG_LoadTexture,0,4,SDL_Renderer char SDL_Texture,Load an image from a filesystem path into a texture.
IMG_LoadTextureTyped_IO,0,6,SDL_Renderer SDL_IOStream bool char SDL_Texture,Load an image from an SDL data source into a texture.
IMG_LoadTexture_IO,0,5,SDL_Renderer SDL_IOStream bool SDL_Texture,Load an image from an SDL data source into a texture.
IMG_LoadTyped_IO,0,3,SDL_IOStream bool char SDL_Surface,Load an image from an SDL data source into a software surface.
IMG_LoadWEBPAnimation_IO,0,79,SDL_IOStream IMG_Animation,Load a WEBP animation directly.
IMG_LoadWEBP_IO,0,46,SDL_IOStream SDL_Surface,Load a WEBP image directly.
IMG_LoadXCF_IO,0,47,SDL_IOStream SDL_Surface,Load a XCF image directly.
IMG_LoadXPM_IO,0,48,SDL_IOStream SDL_Surface,Load a XPM image directly.
IMG_LoadXV_IO,0,49,SDL_IOStream SDL_Surface,Load a XV image directly.
IMG_Load_IO,0,2,SDL_IOStream bool SDL_Surface,Load an image from an SDL data source into a software surface.
IMG_ReadXPMFromArray,0,50,char SDL_Surface,Load an XPM image from a memory array.
IMG_ReadXPMFromArrayToRGB888,0,51,char SDL_Surface,Load an XPM image from a memory array.
IMG_ResetAnimationDecoder,0,100,IMG_AnimationDecoder bool,Reset an animation decoder.
IMG_Save,0,52,SDL_Surface char bool,Save an SDL_Surface into an image file.
IMG_SaveANIAnimation_IO,0,82,IMG_Animation SDL_IOStream bool,Save an animation in ANI format to an SDL_IOStream.
IMG_SaveAPNGAnimation_IO,0,83,IMG_Animation SDL_IOStream bool,Save an animation in APNG format to an SDL_IOStream.
IMG_SaveAVIF,0,54,SDL_Surface char int bool,Save an SDL_Surface into a AVIF image file.
IMG_SaveAVIFAnimation_IO,0,84,IMG_Animation SDL_IOStream bool int,Save an animation in AVIF format to an SDL_IOStream.
IMG_SaveAVIF_IO,0,55,SDL_Surface SDL_IOStream bool int,"Save an SDL_Surface into AVIF image data, via an SDL_IOStream."
IMG_SaveAnimation,0,80,IMG_Animation char bool,Save an animation to a file.
IMG_SaveAnimationTyped_IO,0,81,IMG_Animation SDL_IOStream bool char,Save an animation to an SDL_IOStream.
IMG_SaveBMP,0,56,SDL_Surface char bool,Save an SDL_Surface into a BMP image file.
IMG_SaveBMP_IO,0,57,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into BMP image data, via an SDL_IOStream."
IMG_SaveCUR,0,58,SDL_Surface char bool,Save an SDL_Surface into a CUR image file.
