name,group,order,types,description
MIX_AudioFramesToMS,0,47,MIX_Audio Sint64,Convert sample frames for a MIX_Audio's format to milliseconds.
MIX_AudioMSToFrames,0,46,MIX_Audio Sint64,Convert milliseconds to sample frames for a MIX_Audio's format.
MIX_CreateAudioDecoder,0,88,char SDL_PropertiesID MIX_AudioDecoder,Create a MIX_AudioDecoder from a path on the filesystem.
MIX_CreateAudioDecoder_IO,0,89,SDL_IOStream bool SDL_PropertiesID MIX_AudioDecoder,Create a MIX_AudioDecoder from an SDL_IOStream.
MIX_CreateGroup,0,77,MIX_Mixer MIX_Group,Create a mixing group.
MIX_CreateMixer,0,6,SDL_AudioSpec MIX_Mixer,Create a mixer that generates audio to a memory buffer.
MIX_CreateMixerDevice,0,5,SDL_AudioDeviceID SDL_AudioSpec MIX_Mixer,Create a mixer that plays sound directly to an audio device.
MIX_CreateSineWaveAudio,0,19,MIX_Mixer int float Sint64 MIX_Audio,Create a MIX_Audio that generates a sinewave.
MIX_CreateTrack,0,24,MIX_Mixer MIX_Track,Create a new track on a mixer.
MIX_DecodeAudio,0,93,MIX_AudioDecoder int SDL_AudioSpec,Decode more audio from a MIX_AudioDecoder.
MIX_DestroyAudio,0,23,MIX_Audio,Destroy the specified audio.
MIX_DestroyAudioDecoder,0,90,MIX_AudioDecoder,Destroy the specified audio decoder.
MIX_DestroyGroup,0,78,MIX_Group,Destroy a mixing group.
MIX_DestroyMixer,0,7,MIX_Mixer,Free a mixer.
MIX_DestroyTrack,0,25,MIX_Track,Destroy the specified track.
MIX_FramesToMS,0,49,int Sint64,"Convert sample frames, at a specific sample rate, to milliseconds."
MIX_Generate,0,87,MIX_Mixer int,Generate mixer output when not driving an audio device.
MIX_GetAudioDecoder,0,4,int char,Report the name of a specific audio decoders.
MIX_GetAudioDecoderFormat,0,92,MIX_AudioDecoder SDL_AudioSpec bool,Query the initial audio format of a MIX_AudioDecoder.
MIX_GetAudioDecoderProperties,0,91,MIX_AudioDecoder SDL_PropertiesID,Get the properties associated with a MIX_AudioDecoder.
MIX_GetAudioDuration,0,21,MIX_Audio Sint64,Get the length of a MIX_Audio's playback in sample frames.
MIX_GetAudioFormat,0,22,MIX_Audio SDL_AudioSpec bool,Query the initial audio format of a MIX_Audio.
MIX_GetAudioProperties,0,20,MIX_Audio SDL_PropertiesID,Get the properties associated with a MIX_Audio.
MIX_GetGroupMixer,0,80,MIX_Group MIX_Mixer,Get the MIX_Mixer that owns a MIX_Group.
MIX_GetGroupProperties,0,79,MIX_Group SDL_PropertiesID,Get the properties associated with a group.
MIX_GetMixerFormat,0,9,MIX_Mixer SDL_AudioSpec bool,Get the audio format a mixer is generating.
MIX_GetMixerFrequencyRatio,0,70,MIX_Mixer float,Get a mixer's master frequency ratio.
MIX_GetMixerGain,0,65,MIX_Mixer float,Get a mixer's master gain control.
