name,group,order,types,description
SDL_AcquireCameraFrame,30,855,SDL_Camera Uint64 SDL_Surface,Acquire a frame.
SDL_AcquireGPUCommandBuffer,36,932,SDL_GPUDevice SDL_GPUCommandBuffer,Acquire a command buffer.
SDL_AcquireGPUSwapchainTexture,36,982,SDL_GPUCommandBuffer SDL_Window SDL_GPUTexture Uint32 bool,Acquire a texture to use in presentation.
SDL_AddAtomicInt,21,651,SDL_AtomicInt int,Add to an atomic variable.
SDL_AddAtomicU32,21,655,SDL_AtomicU32 int Uint32,Add to an atomic variable.
SDL_AddEventWatch,7,191,SDL_EventFilter bool,Add a callback to be triggered when an event is added to the event queue.
SDL_AddGamepadMapping,11,251,char int,Add support for gamepads that SDL is unaware of or change the binding of an existing gamepad.
SDL_AddGamepadMappingsFromFile,11,253,char int,Load a set of gamepad mappings from a file.
SDL_AddGamepadMappingsFromIO,11,252,SDL_IOStream bool int,Load a set of gamepad mappings from an SDL_IOStream.
SDL_AddHintCallback,1,16,char SDL_HintCallback bool,Add a function to watch a particular hint.
SDL_AddSurfaceAlternateImage,27,766,SDL_Surface bool,Add an alternate version of a surface.
SDL_AddTimer,16,490,Uint32 SDL_TimerCallback SDL_TimerID,Call a callback function at a future time.
SDL_AddTimerNS,16,491,Uint64 SDL_NSTimerCallback SDL_TimerID,Call a callback function at a future time.
SDL_AddVulkanRenderSemaphores,17,584,SDL_Renderer Uint32 Sint64 bool,Add a set of synchronization semaphores for the current frame.
SDL_AsyncIOFromFile,24,718,char SDL_AsyncIO,Use this function to create a new SDL_AsyncIO object for reading from and/or writing to a named file.
SDL_AttachVirtualJoystick,12,342,SDL_VirtualJoystickDesc SDL_JoystickID,Attach a new virtual joystick.
SDL_AudioDevicePaused,14,429,SDL_AudioDeviceID bool,Use this function to query if an audio device is paused.
SDL_AudioStreamDevicePaused,14,460,SDL_AudioStream bool,Use this function to query if an audio device associated with a stream is paused.
SDL_BeginGPUComputePass,36,955,SDL_GPUCommandBuffer SDL_GPUStorageTextureReadWriteBinding Uint32 SDL_GPUStorageBufferReadWriteBinding SDL_GPUComputePass,Begins a compute pass on a command buffer.
SDL_BeginGPUCopyPass,36,965,SDL_GPUCommandBuffer SDL_GPUCopyPass,Begins a copy pass on a command buffer.
SDL_BeginGPURenderPass,36,936,SDL_GPUCommandBuffer SDL_GPUColorTargetInfo Uint32 SDL_GPUDepthStencilTargetInfo SDL_GPURenderPass,Begins a render pass on a command buffer.
SDL_BindAudioStream,14,434,SDL_AudioDeviceID SDL_AudioStream bool,Bind a single audio stream to an audio device.
SDL_BindAudioStreams,14,433,SDL_AudioDeviceID SDL_AudioStream int bool,Bind a list of audio streams to an audio device.
SDL_BindGPUComputePipeline,36,956,SDL_GPUComputePass SDL_GPUComputePipeline,Binds a compute pipeline on a command buffer for use in compute dispatch.
SDL_BindGPUComputeSamplers,36,957,SDL_GPUComputePass Uint32 SDL_GPUTextureSamplerBinding,Binds texture-sampler pairs for use on the compute shader.
SDL_BindGPUComputeStorageBuffers,36,959,SDL_GPUComputePass Uint32 SDL_GPUBuffer,Binds storage buffers as readonly for use on the compute pipeline.
SDL_BindGPUComputeStorageTextures,36,958,SDL_GPUComputePass Uint32 SDL_GPUTexture,Binds storage textures as readonly for use on the compute pipeline.
SDL_BindGPUFragmentSamplers,36,947,SDL_GPURenderPass Uint32 SDL_GPUTextureSamplerBinding,Binds texture-sampler pairs for use on the fragment shader.
SDL_BindGPUFragmentStorageBuffers,36,949,SDL_GPURenderPass Uint32 SDL_GPUBuffer,Binds storage buffers for use on the fragment shader.
SDL_BindGPUFragmentStorageTextures,36,948,SDL_GPURenderPass Uint32 SDL_GPUTexture,Binds storage textures for use on the fragment shader.
SDL_BindGPUGraphicsPipeline,36,937,SDL_GPURenderPass SDL_GPUGraphicsPipeline,Binds a graphics pipeline on a render pass to be used in rendering.
SDL_BindGPUIndexBuffer,36,943,SDL_GPURenderPass SDL_GPUBufferBinding SDL_GPUIndexElementSize,Binds an index buffer on a command buffer for use with subsequent draw calls.
SDL_BindGPUVertexBuffers,36,942,SDL_GPURenderPass Uint32 SDL_GPUBufferBinding,Binds vertex buffers on a command buffer for use with subsequent draw calls.
SDL_BindGPUVertexSamplers,36,944,SDL_GPURenderPass Uint32 SDL_GPUTextureSamplerBinding,Binds texture-sampler pairs for use on the vertex shader.
SDL_BindGPUVertexStorageBuffers,36,946,SDL_GPURenderPass Uint32 SDL_GPUBuffer,Binds storage buffers for use on the vertex shader.
SDL_BindGPUVertexStorageTextures,36,945,SDL_GPURenderPass Uint32 SDL_GPUTexture,Binds storage textures for use on the vertex shader.
SDL_BlitGPUTexture,36,974,SDL_GPUCommandBuffer SDL_GPUBlitInfo,Blits from a source texture region to a destination texture region.
SDL_BlitSurface,27,810,SDL_Surface SDL_Rect bool,Performs a fast blit from the source surface to the destination surface with clipping.
SDL_BlitSurface9Grid,27,817,SDL_Surface SDL_Rect int float SDL_ScaleMode bool,"Perform a scaled blit using the 9-grid algorithm to a destination surface, which may be of a different format."
SDL_BlitSurfaceScaled,27,812,SDL_Surface SDL_Rect SDL_ScaleMode bool,"Perform a scaled blit to a destination surface, which may be of a different format."
SDL_BlitSurfaceTiled,27,815,SDL_Surface SDL_Rect bool,"Perform a tiled blit to a destination surface, which may be of a different format."
SDL_BlitSurfaceTiledWithScale,27,816,SDL_Surface SDL_Rect float SDL_ScaleMode bool,"Perform a scaled and tiled blit to a destination surface, which may be of a different format."
SDL_BlitSurfaceUnchecked,27,811,SDL_Surface SDL_Rect bool,Perform low-level surface blitting only.
SDL_BlitSurfaceUncheckedScaled,27,813,SDL_Surface SDL_Rect SDL_ScaleMode bool,Perform low-level surface scaled blitting only.
SDL_BroadcastCondition,20,637,SDL_Condition,Restart all threads that are waiting on the condition variable.
SDL_CalculateGPUTextureFormatSize,36,995,SDL_GPUTextureFormat Uint32,Calculate the size in bytes of a texture format with dimensions.
SDL_CancelGPUCommandBuffer,36,987,SDL_GPUCommandBuffer bool,Cancels a command buffer.
SDL_CaptureMouse,9,235,bool,Capture the mouse and to track input outside an SDL window.
SDL_ClaimWindowForGPUDevice,36,977,SDL_GPUDevice SDL_Window bool,"Claims a window, creating a swapchain structure for it."
SDL_CleanupTLS,19,614,,Cleanup all TLS data for this thread.
SDL_ClearAudioStream,14,457,SDL_AudioStream bool,Clear any pending data in the stream.
SDL_ClearClipboardData,32,867,bool,Clear the clipboard data.
SDL_ClearComposition,8,218,SDL_Window bool,Dismiss the composition window/IME without disabling the subsystem.
SDL_ClearError,2,22,bool,Clear any previous error message for this thread.
SDL_ClearProperty,4,43,SDL_PropertiesID char bool,Clear a property from a group of properties.
SDL_ClearSurface,27,807,SDL_Surface float bool,"Clear a surface with a specific color, with floating point precision."
SDL_ClickTrayEntry,34,893,SDL_TrayEntry,Simulate a click on a tray entry.
SDL_CloseAsyncIO,24,722,SDL_AsyncIO bool SDL_AsyncIOQueue,Close and free any allocated resources for an async I/O object.
SDL_CloseAudioDevice,14,432,SDL_AudioDeviceID,Close a previously-opened audio device.
SDL_CloseCamera,30,857,SDL_Camera,Use this function to shut down camera processing and close the camera device.
SDL_CloseGamepad,11,323,SDL_Gamepad,Close a gamepad previously opened with SDL_OpenGamepad().
SDL_CloseHaptic,13,395,SDL_Haptic,Close a haptic device previously opened with SDL_OpenHaptic().
SDL_CloseIO,23,675,SDL_IOStream bool,Close and free an allocated SDL_IOStream structure.
SDL_CloseJoystick,12,382,SDL_Joystick,Close a joystick previously opened with SDL_OpenJoystick().
SDL_CloseSensor,40,1023,SDL_Sensor,Close a sensor previously opened with SDL_OpenSensor().
SDL_CloseStorage,25,733,SDL_Storage bool,Closes and frees a storage container.
SDL_CompareAndSwapAtomicInt,21,648,SDL_AtomicInt int bool,Set an atomic variable to a new value if it is currently an old value.
SDL_CompareAndSwapAtomicPointer,21,656,bool,Set a pointer to a new value if it is currently an old value.
SDL_CompareAndSwapAtomicU32,21,652,SDL_AtomicU32 Uint32 bool,Set an atomic variable to a new value if it is currently an old value.
SDL_ComposeCustomBlendMode,28,824,SDL_BlendFactor SDL_BlendOperation SDL_BlendMode,Compose a custom blend mode for renderers.
SDL_ConvertAudioSamples,14,471,SDL_AudioSpec Uint8 int bool,Convert some audio data of one format to another format.
SDL_ConvertEventToRenderCoordinates,17,540,SDL_Renderer SDL_Event bool,Convert the coordinates in an event to render coordinates.
SDL_ConvertPixels,27,803,int SDL_PixelFormat bool,Copy a block of pixels of one format to another format.
SDL_ConvertPixelsAndColorspace,27,804,int SDL_PixelFormat SDL_Colorspace SDL_PropertiesID bool,Copy a block of pixels of one format and colorspace to another format and colorspace.
SDL_ConvertSurface,27,801,SDL_Surface SDL_PixelFormat,Copy an existing surface to a new surface of the specified format.
SDL_ConvertSurfaceAndColorspace,27,802,SDL_Surface SDL_PixelFormat SDL_Palette SDL_Colorspace SDL_PropertiesID,Copy an existing surface to a new surface of the specified format and colorspace.
SDL_CopyFile,22,666,char bool,Copy a file.
SDL_CopyGPUBufferToBuffer,36,969,SDL_GPUCopyPass SDL_GPUBufferLocation Uint32 bool,Performs a buffer-to-buffer copy.
SDL_CopyGPUTextureToTexture,36,968,SDL_GPUCopyPass SDL_GPUTextureLocation Uint32 bool,Performs a texture-to-texture copy.
SDL_CopyProperties,4,27,SDL_PropertiesID bool,Copy a group of properties.
SDL_CopyStorageFile,25,742,SDL_Storage char bool,Copy a file in a writable storage container.
SDL_CreateAnimatedCursor,9,238,SDL_CursorFrameInfo int SDL_Cursor,Create an animated color cursor.
SDL_CreateAsyncIOQueue,24,723,SDL_AsyncIOQueue,Create a task queue for tracking multiple I/O operations.
SDL_CreateAudioStream,14,438,SDL_AudioSpec SDL_AudioStream,Create a new audio stream.
SDL_CreateColorCursor,9,237,SDL_Surface int SDL_Cursor,Create a color cursor.
SDL_CreateCondition,20,634,SDL_Condition,Create a condition variable.
SDL_CreateCursor,9,236,Uint8 int SDL_Cursor,Create a cursor using the specified bitmap data and mask (in MSB format).
SDL_CreateDirectory,22,662,char bool,"Create a directory, and any missing parent directories."
SDL_CreateEnvironment,50,1119,bool SDL_Environment,Create a set of environment variables
SDL_CreateGPUBuffer,36,918,SDL_GPUDevice SDL_GPUBufferCreateInfo SDL_GPUBuffer,Creates a buffer object to be used in graphics or compute workflows.
SDL_CreateGPUComputePipeline,36,913,SDL_GPUDevice SDL_GPUComputePipelineCreateInfo SDL_GPUComputePipeline,Creates a pipeline object to be used in a compute workflow.
SDL_CreateGPUDevice,36,905,SDL_GPUShaderFormat bool char SDL_GPUDevice,Creates a GPU context.
SDL_CreateGPUDeviceWithProperties,36,906,SDL_PropertiesID SDL_GPUDevice,Creates a GPU context.
SDL_CreateGPUGraphicsPipeline,36,914,SDL_GPUDevice SDL_GPUGraphicsPipelineCreateInfo SDL_GPUGraphicsPipeline,Creates a pipeline object to be used in a graphics workflow.
SDL_CreateGPURenderState,17,591,SDL_Renderer SDL_GPURenderStateCreateInfo SDL_GPURenderState,Create custom GPU render state.
SDL_CreateGPURenderer,17,498,SDL_GPUDevice SDL_Window SDL_Renderer,Create a 2D GPU rendering context.
SDL_CreateGPUSampler,36,915,SDL_GPUDevice SDL_GPUSamplerCreateInfo SDL_GPUSampler,Creates a sampler object to be used when binding textures in a graphics workflow.
SDL_CreateGPUShader,36,916,SDL_GPUDevice SDL_GPUShaderCreateInfo SDL_GPUShader,Creates a shader to be used when creating a graphics pipeline.
