name,group,order,types,description
TTF_AddFallbackFont,0,10,TTF_Font bool,Add a fallback font.
TTF_AppendTextString,0,111,TTF_Text char size_t bool,Append UTF-8 text to a text object.
TTF_ClearFallbackFonts,0,12,TTF_Font,Remove all fallback fonts.
TTF_CloseFont,0,122,TTF_Font,Dispose of a previously-created font.
TTF_CopyFont,0,7,TTF_Font,Create a copy of an existing font.
TTF_CreateGLTextEngine,0,83,TTF_TextEngine,Create a text engine for drawing text with OpenGL.
TTF_CreateGLTextEngineWithProperties,0,84,SDL_PropertiesID TTF_TextEngine,"Create a text engine for drawing text with OpenGL, with extra properties."
TTF_CreateGPUTextEngine,0,77,SDL_GPUDevice TTF_TextEngine,Create a text engine for drawing text with the SDL GPU API.
TTF_CreateGPUTextEngineWithProperties,0,78,SDL_PropertiesID TTF_TextEngine,"Create a text engine for drawing text with the SDL GPU API, with the specified properties."
TTF_CreateRendererTextEngine,0,73,SDL_Renderer TTF_TextEngine,Create a text engine for drawing text on an SDL renderer.
TTF_CreateRendererTextEngineWithProperties,0,74,SDL_PropertiesID TTF_TextEngine,"Create a text engine for drawing text on an SDL renderer, with the specified properties."
TTF_CreateSurfaceTextEngine,0,70,TTF_TextEngine,Create a text engine for drawing text on SDL surfaces.
TTF_CreateText,0,89,TTF_TextEngine TTF_Font char size_t TTF_Text,Create a text object from UTF-8 text and a text engine.
TTF_DeleteTextString,0,112,TTF_Text int bool,Delete UTF-8 text from a text object.
TTF_DestroyGLTextEngine,0,86,TTF_TextEngine,Destroy a text engine created for drawing text with OpenGL.
TTF_DestroyGPUTextEngine,0,80,TTF_TextEngine,Destroy a text engine created for drawing text with the SDL GPU API.
TTF_DestroyRendererTextEngine,0,76,TTF_TextEngine,Destroy a text engine created for drawing text on an SDL renderer.
TTF_DestroySurfaceTextEngine,0,72,TTF_TextEngine,Destroy a text engine created for drawing text on SDL surfaces.
TTF_DestroyText,0,121,TTF_Text,Destroy a text object created by a text engine.
TTF_DrawRendererText,0,75,TTF_Text float bool,Draw text to an SDL renderer.
TTF_DrawSurfaceText,0,71,TTF_Text int SDL_Surface bool,Draw text to an SDL surface.
TTF_FontHasGlyph,0,50,TTF_Font Uint32 bool,Check whether a glyph is provided by the font for a UNICODE codepoint.
TTF_FontIsFixedWidth,0,36,TTF_Font bool,Query whether a font is fixed-width.
TTF_FontIsScalable,0,37,TTF_Font bool,Query whether a font is scalable or not.
TTF_GetFontAscent,0,30,TTF_Font int,Query the offset from the baseline to the top of a font.
